Family,Genus,BB_01_R001,BB_01_R003,BB_01_R004,FPS_01_R011,FPS_01_R012,FPS_01_R013,IS_01_R021,IS_01_R022,IS_01_R023,BB_02_R027,BB_02_R028,BB_02_R029,IS_02_R034,IS_02_R035,IS_02_R036
Chromadoridae,Paracomesoma,0,0,0,0,0,3,2,0,0,0,4,1,0,0,0
Comesomatidae,Paracyatholaimus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cyatholaimidae,Paralongicyatholaimus,2,3,0,0,1,1,0,1,0,5,0,1,0,0,0
Cyatholaimidae,Paramesonchium,0,0,0,0,3,0,0,1,0,1,2,2,0,0,0
Chromadoridae,Paramonhystera,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Monhysteridae,Parasphaerolaimus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sphaerolaimidae,Parodontophora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odontophoridae,Perspiria,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Xyalidae,Phanodermopsis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Phanodermatidae,Preacanthonchus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thoracostomopsidae,Prochromadorella,21,0,3,6,5,0,0,1,0,6,6,2,0,2,1
Chromadoridae,Promonhystera,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Chromadoridae,Pselionema,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0
Monhysteridae,Pseudolella,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1
Pselionematidae,Pterygonema,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chromadoridae,Ptycholaimellus,22,19,15,14,14,19,11,25,12,6,22,10,7,5,3
Pterygonematidae,Quadricoma,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chromadoridae,Retrotheristus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comesomatidae,Rhabdocoma,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
Trichotheristus,Richtersia,0,0,0,0,1,1,3,2,8,0,0,0,0,0,0
Comesomatidae,Sabatieria,15,6,12,17,3,6,1,0,2,0,1,7,6,13,4
Selachinematidae,Scaptrella,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Selachnematidae,Selachnematidae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerolaimidae,Southerniella,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sphaerolaimidae,Sphaerolaimus,7,6,9,4,0,4,4,0,1,1,6,1,0,0,0
Chromadoridae,Spilophorella,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Desmodoridae,Spirinia,3,6,8,5,1,0,0,0,0,21,9,40,9,7,19
Desmodoridae,Spirobolbolaimus,0,0,1,0,0,0,0,8,3,4,0,0,0,0,0
Ironidae,Syringolaimus,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
Linhomoidae,Terschellingia,6,14,7,10,3,0,1,0,1,3,2,1,38,41,51
Halalaimidae,Thalassoalaimus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Monhysteridae,Thalassomonhystera,1,1,0,0,0,2,1,2,6,1,1,0,0,1,2
Xyalidae,Theristus,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0
Oncholaimidae,Trefusia,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Xyalidae,Trichotheristus,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Desmoscolecidae,Tricoma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Unknown,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Unknown,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
Oncholaimidae,Viscosia,0,4,4,11,4,6,14,13,29,2,2,2,6,3,4
Chromadoridae,Zygonomella,5,0,0,0,0,0,0,0,0,0,0,0,10,0,1
Xyalidae,NewGenus,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
