Family,Genus,Feeding_type,c_p,BB_01,BB_01,BB_01,FPS_01,FPS_01,FPS_01,IS_01,IS_01,IS_01,BB_02,BB_02,BB_02,IS_02,IS_02,IS_02,
Leptolaimidae,Leptolaimus,1A,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
Linhomoeidae,Anticyathus,1B,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Linhomoeidae,Eleutherolaimus,1B,2,0,0,0,2,0,0,0,1,0,1,1,0,0,2,0,
Linhomoeidae,Eumorpholaimus,1B,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
Linhomoeidae,Lihnomoeus,1B,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,
Linhomoeidae,Metalihnomoeus,1B,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Linhomoeidae,Terschellingia,1A,3,6,14,7,10,3,0,1,0,1,3,2,1,38,41,51,
Microlaimidae,Aponema,2A,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,
Microlaimidae,Microlaimus,2A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Microlaimidae,Microlaimus/Aponema,2A,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Monhysteridae,Thalassomonhystera,1B,1,1,1,0,0,0,2,1,2,6,1,1,0,0,1,2,
Oncholaimidae,Meyersia,2B,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,
Oncholaimidae,Metoncholaimus,2B,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Oncholaimidae,Viscosia,2B,3,0,4,4,11,4,6,14,13,29,2,2,2,6,3,4,
Oxystominidae,Oxystomi,1A,4,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,
Phanodermatidae,Phanodermopsis,2A,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Pterygonematidae,Quadricoma,1A,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Rhabdolaimie,Syringolaimus,2B,4,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,
Richtersiidae,Richtersia,1B,3,0,0,0,0,1,1,3,2,8,0,0,0,0,0,0,
Selachinematidae,Halichoanolaimus,2B,3,2,1,0,0,2,2,0,0,3,1,0,1,0,0,0,
Selachinematidae,Cheironchous,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,
Selachinematidae,Selachinematidae,2B,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Siphonolaimidae,Astomonema,1A,3,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,
Sphaerolaimidae,Parasphaerolaimus,2B,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Sphaerolaimidae,Metasphaerolaimus,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Sphaerolaimidae,Sphaerolaimus,2B,3,7,6,9,4,0,4,4,0,1,1,6,1,0,0,0,
Thoracostomopsidae,Enoploides,2B,2,0,0,0,0,0,0,2,3,0,1,0,0,0,1,0,
Thoracostomopsidae,Mesacanthion,2B,2,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,
Trefusiidae,Rhabdocoma,1A,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,
Trefusiidae,Trefusia,1A,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Tripyloididae,Bathylaimus,1B,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,
Unknown,Freshwater_nematode,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unknown,Genus_unknown_1,,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Unknown,Unidentified,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
Unknown,unknown,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,
Xyalidae,Gonionchus,2A,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Xyalidae,Paramonhystera,1B,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Xyalidae,Promonhystera,1B,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
Xyalidae,Retrotheristus,1B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Xyalidae,Zygonomella,1B,2,5,0,0,0,0,0,0,0,0,0,0,0,10,0,1,
Xyalidae,Metadesmolaimus,1B,2,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,
Xyalidae,Scaptrella,2B,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Xyalidae,Amphimonhystera,1B,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Xyalidae,Cobbia,1B,3,0,0,0,1,1,0,2,1,0,0,1,0,0,1,0,
Xyalidae,Daptonema,1B,2,3,7,18,7,6,35,2,3,4,11,27,3,2,2,1,
Xyalidae,Theristus,1B,2,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,
Xyalidae,Trichotheristus,1B,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
Xyalidae,NewGenus,1B,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
